SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CC(O)C(O)C(O)C(O)C=O,D-fucose,0.186834,0.185790715,0.18475455,0.183727385,0.18270922,0.18169974,0.180698575,0.17970641,0.17872293,0.177747765,0.176781
O=C[C@@H](O)C[C@@H](O)[C@@H](O)CO,3-deoxy-D-glucose,0.200271,0.19906926,0.197876095,0.19669193,0.19551708,0.1943516,0.19319475,0.1920479,0.19091042,0.18978157,0.188662
COC1OCC(O)C(O)C1O,"xylopyranoside, methyl-, .alpha.-D-,",0.203982,0.20169358,0.199436605,0.197214315,0.19502571,0.192870735,0.19075013,0.188662525,0.186608235,0.184587315,0.182596
O=C(O)CC(=O)c1ccccc1,2-benzoylethanoic-acid,0.20338,0.20156985,0.19975985,0.197948905,0.196134645,0.19431544,0.1924889199999999,0.19065377,0.188807675,0.18694858,0.185077
O=C(O)CCCc1ccccc1,4-phenylbutanoic acid,0.175226,0.17343193,0.17166149,0.16991442,0.1681884049999999,0.166480445,0.164787855,0.16310832,0.16143884,0.15977673,0.158119
COC(=O)c1c(C)cccc1C,"benzoic acid, 2,6-dimethyl-, methyl ester",0.13626,0.1349565549999999,0.1336529249999999,0.13234698,0.131037405,0.129722515,0.128400365,0.1270685299999999,0.12572675,0.12437234,0.123005
CCCc1ccc(C(=O)O)cc1,4-propylbenzoic acid,0.161198,0.15914833,0.157147655,0.155200405,0.15330221,0.151449755,0.14963967,0.14786901,0.146133405,0.144429855,0.142753
Cc1ccc(C)c(C(=O)O)c1C,"benzoic acid, 2,3,6-trimethyl-",0.13435,0.13290029,0.13147322,0.13006752,0.12868119,0.12731223,0.125958325,0.124617105,0.123286625,0.121963515,0.120646
COC(=O)c1cccc(C)c1C,"benzoic acid, 2,3-dimethyl-, methyl ester",0.13626,0.1349565549999999,0.1336529249999999,0.13234698,0.131037405,0.129722515,0.128400365,0.1270685299999999,0.12572675,0.12437234,0.123005
COC(=O)c1ccc(C)cc1C,"benzoic acid, 2,4-dimethyl-, methyl ester",0.13626,0.1349565549999999,0.1336529249999999,0.13234698,0.131037405,0.129722515,0.128400365,0.1270685299999999,0.12572675,0.12437234,0.123005
CCOC(=O)c1ccc(C)cc1,ethyl 4-methylbenzoate,0.148609,0.14715499,0.145700045,0.1442421,0.142779895,0.141310375,0.13983191,0.13834213,0.13683972,0.13532268,0.133791
COC(=O)c1cc(C)ccc1C,"benzoic acid, 2,5-dimethyl-, methyl ester",0.13626,0.1349565549999999,0.1336529249999999,0.13234698,0.131037405,0.129722515,0.128400365,0.1270685299999999,0.12572675,0.12437234,0.123005
COC(=O)c1ccc(C)c(C)c1,"benzoic acid, 3,4-dimethyl-, methyl ester",0.13626,0.1349565549999999,0.1336529249999999,0.13234698,0.131037405,0.129722515,0.128400365,0.1270685299999999,0.12572675,0.12437234,0.123005
CC(C)c1ccccc1C(=O)O,2-(1-methylethyl)benzoic acid,0.155559,0.153864115,0.152193305,0.15054755,0.148924165,0.14732052,0.14573356,0.14416134,0.142600175,0.141047065,0.139499
